house_type,area_sqft,num_bedrooms,age_years,distance_to_city_km,crime_rate_index,price_usd
Apartment,1570.1,1.0,10.1,4.49,7.19,135500.0
Townhouse,2694.1,1.0,14.8,5.01,1.31,302600.0
Bungalow,1647.0,4.0,0.8,2.25,8.44,241800.0
Villa,,3.0,21.0,0.73,3.56,275500.0
Apartment,1868.7,2.0,20.2,14.82,5.01,208900.0
Apartment,1693.1,2.0,21.0,2.87,3.81,155600.0
Apartment,1668.0,3.0,39.0,9.39,3.42,190300.0
Townhouse,1742.7,1.0,36.5,11.64,4.88,166300.0
Bungalow,2322.6,4.0,,6.37,4.41,316000.0
Bungalow,1047.6,1.0,14.8,20.9,6.7,79600.0
Apartment,1689.5,2.0,17.0,5.87,8.32,182000.0
Townhouse,1129.4,3.0,14.4,3.35,3.67,121000.0
Bungalow,1722.2,,31.9,22.64,2.92,211100.0
Apartment,1132.5,,21.0,19.77,7.0,50000.0
Apartment,1333.1,2.0,22.9,1.79,7.03,112300.0
Apartment,1382.0,5.0,34.1,0.5,9.11,170600.0
Apartment,1890.3,3.0,32.2,0.94,1.14,276900.0
Villa,1867.4,,5.3,,8.68,265400.0
Villa,1001.7,3.0,28.6,35.85,5.69,100000.0
Apartment,,4.0,17.4,8.18,6.59,201700.0
Bungalow,1216.2,2.0,11.8,4.67,1.82,162700.0
Apartment,996.6,1.0,,21.96,4.89,50000.0
Apartment,1413.2,4.0,19.5,6.04,3.05,171200.0
Apartment,1376.6,3.0,14.2,3.79,3.29,196000.0
Villa,2470.7,3.0,10.1,28.34,5.54,310700.0
Bungalow,1673.2,1.0,27.8,18.94,8.31,170400.0
Apartment,949.0,2.0,30.8,18.56,7.69,50000.0
Villa,1274.1,3.0,,7.18,6.32,213300.0
Villa,1908.6,2.0,2.0,15.58,5.85,268900.0
Apartment,2335.4,,34.0,1.98,,255800.0
Bungalow,865.6,3.0,0.4,8.51,9.75,90800.0
Apartment,748.0,2.0,,41.26,6.04,50000.0
Apartment,2248.4,5.0,25.1,3.44,3.29,319200.0
Townhouse,1655.8,4.0,12.9,15.82,3.07,209700.0
Townhouse,1152.7,4.0,9.9,6.74,6.5,134700.0
Bungalow,1713.9,1.0,0.4,0.5,5.71,247500.0
Apartment,445.7,2.0,9.4,14.4,1.07,50000.0
Apartment,1501.4,3.0,5.5,,8.47,210600.0
Bungalow,1631.1,2.0,24.5,9.98,7.34,210800.0
Villa,1869.7,5.0,6.7,0.9,6.96,315900.0
Apartment,1094.4,,21.1,29.35,1.62,50000.0
Villa,1534.3,3.0,23.6,3.45,4.26,249900.0
Apartment,,3.0,11.9,2.57,9.42,100400.0
Townhouse,1602.2,3.0,1.4,1.38,8.76,203900.0
Apartment,1141.9,2.0,1.5,29.19,3.57,50000.0
Bungalow,1336.8,3.0,1.1,12.44,2.41,219400.0
Apartment,1101.7,2.0,29.6,13.53,5.04,114700.0
Villa,1760.5,4.0,12.7,,4.2,307200.0
Villa,1843.4,1.0,31.9,6.44,7.14,291500.0
Apartment,1406.2,5.0,17.3,1.17,9.7,212500.0
Townhouse,1515.3,4.0,18.1,8.21,4.27,182100.0
Bungalow,920.6,,20.5,2.84,1.56,95300.0
Townhouse,1380.1,4.0,28.5,37.79,9.08,57300.0
Townhouse,1479.9,1.0,,15.92,1.34,121100.0
Villa,,5.0,4.9,5.33,9.57,408200.0
Townhouse,1055.2,3.0,22.2,1.64,6.98,129500.0
